fio,faculty,title,degree
Семенов Г.Н.,ФФ,,к.н.
Егоров А.А.,ФУПМ,,
Соколов Г.Н.,ФФ,доцент,д.н.
Волков З.Т.,ФИВТ,,д.н.
Кузнецов Л.О.,ФПМИ,ассистент,д.н.
Егоров Д.С.,ИТМО,доцент,д.н.
Лебедев Б.В.,ФМиМ,,д.н.
Лебедев А.А.,ИТМО,профессор,д.н.
Козлов Е.П.,ФМиМ,,к.н.
Козлов Г.Н.,ФУПМ,доцент,д.н.
Семенов Б.В.,ФИВТ,профессор,д.н.
Соколов А.А.,ФИТ,профессор,к.н.
Козлов Л.О.,ФЭТ,,к.н.
Соколов Б.В.,ФИТ,профессор,к.н.
Кузнецов Б.В.,ФУПМ,,д.н.
Новиков И.К.,ИТМО,ассистент,д.н.
Козлов Ж.Р.,ФМиЕН,,к.н.
Сидоров Д.С.,ФЭТ,ассистент,
Попов А.А.,ФЭТ,,
Козлов К.М.,ФИВТ,ассистент,
Волков Б.В.,ФМиМ,,д.н.
Попов Д.С.,ФЭТ,доцент,
Смирнов Д.С.,ФМиЕН,профессор,
Кузнецов Д.С.,ФМиЕН,доцент,д.н.
Семенов И.К.,ФФ,ассистент,к.н.
Соколов М.Ю.,ФМиЕН,ассистент,
Соколов Г.Н.,ИТМО,профессор,к.н.
Петров Б.В.,ФМиМ,,к.н.
Новиков И.К.,ФИТ,,к.н.
Иванов Г.Н.,ФЭТ,доцент,
Соколов З.Т.,ФФ,доцент,
Лебедев Г.Н.,ФУПМ,доцент,д.н.
Иванов Ж.Р.,ФМиЕН,,к.н.
Кузнецов Д.С.,ФРТ,профессор,к.н.
Лебедев З.Т.,ФПМИ,,к.н.
Волков Ж.Р.,ИТМО,профессор,к.н.
Семенов Б.В.,ФФ,ассистент,к.н.
Семенов И.К.,ФМиЕН,ассистент,к.н.
Сидоров М.Ю.,ФЭТ,профессор,к.н.
Егоров Л.О.,ФРТ,ассистент,д.н.
Лебедев З.Т.,ФПМИ,,к.н.
Смирнов В.И.,ФИТ,,к.н.
Соколов Б.В.,ФИТ,доцент,д.н.
Козлов Д.С.,ФУПМ,профессор,к.н.
Волков И.К.,ФИВТ,,
Сидоров Б.В.,ФИТ,ассистент,
Петров Ж.Р.,ФМиМ,доцент,д.н.
Егоров А.А.,ФИТ,ассистент,д.н.
Попов Л.О.,ФИВТ,,
Попов Г.Н.,ФПМИ,ассистент,к.н.
Алексеев Л.О.,ФИТ,профессор,
Иванов Ж.Р.,ФЭТ,ассистент,д.н.
Новиков М.Ю.,ФМиЕН,профессор,
Волков З.Т.,ФИТ,,
Морозов В.И.,ФПМИ,доцент,к.н.
Волков К.М.,ФФ,ассистент,к.н.
Сидоров В.И.,ИТМО,профессор,к.н.
Соколов Б.В.,ФИВТ,профессор,д.н.
Лебедева Б.В.,ФУПМ,доцент,
Лебедев Б.В.,ФИТ,профессор,
Лебедева В.И.,ФФ,доцент,
Сидоров В.И.,ФРТ,доцент,к.н.
Волков А.А.,ФМиЕН,доцент,
Семенов К.М.,ФМиМ,,д.н.
Иванов З.Т.,ФЭТ,,к.н.
Лебедев Л.О.,ИТМО,доцент,д.н.
Соколов И.К.,ФУПМ,ассистент,к.н.
Волков Б.В.,ФУПМ,доцент,д.н.
Алексеев З.Т.,ФМиЕН,,
Лебедева Г.Н.,ФУПМ,,д.н.
Семенов М.Ю.,ФЭТ,профессор,д.н.
Лебедев Г.Н.,ФФ,ассистент,к.н.
Попов И.К.,ФМиЕН,ассистент,д.н.
Козлов Б.В.,ФМиЕН,профессор,
Соколов Е.П.,ФРТ,доцент,к.н.
Морозов Б.В.,ФЭТ,ассистент,
